Viewport width,Screen density,Pageviews
1455,1.1,1
1457,2,1
1460,1.25,1
1461,2,1
1463,1.75,1
1464,1,1
1464,2,1
1465,2,1
1466,1,1
1468,2,1
1469,1,1
1470,1.25,1
1470,1.3,1
1471,1,1
1471,2,1
1473,1,1
1473,2,1
1474,2,1
1475,1.3,1
1476,2,1
1477,1.3,1
1477,2,1
1478,2,1
1479,1,1
1480,2,1
1482,2,1
1483,1,1
1483,2,1
1486,2,1
1488,1.25,1
1489,1,1
1490,1.25,1
1490,1.5,1
1491,1,1
1495,2,1
1496,1.25,1
1497,1,1
1502,1.25,1
1503,1.25,1
1505,1.818,1
1506,2,1
1508,1,1
1508,2,1
1509,1,1
1509,2.2,1
1510,1,1
1511,1.125,1
1513,1,1
1519,0.896,1
1519,1.25,1
1520,1,1
1520,1.25,1
1520,2,1
1524,1,1
1525,1.5,1
1526,1,1
1526,2.5,1
1528,2.2,1
1529,1.256,1
1530,2,1
1531,2,1
1533,2,1
1534,2,1
1535,2.5,1
1537,2,1
1539,1,1
1540,2.5,1
1543,1,1
1544,1,1
1545,2,1
1549,2,1
1550,1.765,1
1552,2,1
1553,2,1
1556,2,1
1557,1,1
1557,2,1
1560,1,1
1566,1,1
1567,1,1
1568,2,1
1570,1,1
1574,1.5,1
1575,2,1
1577,1,1
1577,2,1
1578,1.8,1
1579,1,1
1579,2,1
1580,1,1
1580,2,1
1581,1,1
1581,2,1
1584,1.818,1
1589,1,1
1590,2,1
1593,2,1
1596,2,1
1597,1.2,1
1597,2,1
1598,2,1
1599,1,1
1600,1.2,1
1600,1.6,1
1601,2,1
1602,2,1
1604,2,1
1605,2,1
1606,2,1
1607,1,1
1607,2,1
1608,1,1
1608,2,1
1609,2,1
1617,2,1
1618,2,1
1619,1,1
1621,2,1
1624,2,1
1628,1,1
1629,2,1
1632,1,1
1634,1,1
1636,1,1
1636,1.091,1
1637,2,1
1639,1,1
1639,2.5,1
1641,1,1
1645,2,1
1646,1,1
1647,1,1
1649,2,1
1650,1,1
1652,1,1
1652,2,1
1653,2,1
1654,1,1
1655,1,1
1656,1,1
1659,1,1
1662,1,1
1663,1,1
1663,2,1
1666,2,1
1667,1,1
1667,2,1
1668,2.222,1
1669,1,1
1674,1,1
1674,2,1
1675,1,1
1675,2,1
1683,1,1
1684,0.95,1
1684,2,1
1685,1,1
1685,1.1,1
1686,2,1
1687,1,1
1688,1,1
1689,1,1
1689,1.1,1
1696,2,1
1697,1,1
1700,1,1
1704,0.9,1
1704,2,1
1712,1,1
1712,2.25,1
1713,2,1
1719,2,1
1723,2,1
1725,1,1
1729,1,1
1730,1,1
1731,1.1,1
1732,1,1
1734,1,1
1737,0.75,1
1739,2,1
1741,2,1
1743,2,1
1744,1,1
1745,1,1
1746,2,1
1748,1,1
1749,2,1
1750,1,1
1750,2,1
1752,1,1
1754,1,1
1760,1.091,1
1761,2,1
1762,2,1
1765,2,1
1767,2,1
1770,0.896,1
1770,1,1
1771,1,1
1771,2,1
1772,1,1
1774,1,1
1774,1.25,1
1774,2,1
1775,2,1
1784,2,1
1787,2,1
1788,1,1
1790,2,1
1792,2,1
1793,2,1
1794,2,1
1795,2,1
1796,2,1
1798,1,1
1798,2,1
1799,1,1
1799,2,1
1800,2,1
1802,1.818,1
1804,1,1
1805,2,1
1806,1.25,1
1811,2,1
1812,1,1
1813,0.75,1
1813,2,1
1816,1.057,1
1821,2,1
1822,2,1
1823,1,1
1829,2,1
1831,1,1
1832,2,1
1834,1,1
1835,1,1
1836,2,1
1837,1,1
1838,1,1
1838,2,1
1839,2,1
1844,2,1
1846,2,1
1847,2,1
1848,2,1
1851,2,1
1856,2,1
1859 px,2 dppx,1
1861,2,1
1868,1,1
1868,2,1
1870,1,1
1870,2,1
1872,2,1
1874,1,1
1875,2,1
1878,2,1
1881,2,1
1882,0.85,1
1883,1,1
1887,1,1
1890,1,1
1892,2,1
1895,1,1
1895,2,1
1898,2,1
1901,2,1
1902,0.896,1
1903,2,1
1904,1.25,1
1904,2,1
